Window,Analysis_Level,Entity,Sector,Date,Daily_Return,Index_Return,Abnormal_Return,Cumulative_Abnormal_Return,Event_Day
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-10,0.00036822517440116,0.001287711552611981,-0.0009194863782108209,-0.0009194863782108209,-20
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-13,-0.008198845779758416,-0.01555897483005697,0.007360129050298555,0.006440642672087734,-19
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-14,-0.004012296624158529,0.0011780761200470558,-0.005190372744205585,0.0012502699278821496,-18
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-17,-0.021871380593912377,-0.007339748817484892,-0.014531631776427485,-0.013281361848545335,-17
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-18,0.010824295767404846,0.018485047650345088,-0.007660751882940242,-0.02094211373148558,-16
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-19,-0.005670313922988317,-0.002166422752048258,-0.0035038911709400584,-0.024446004902425638,-15
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-20,0.0006047034822787382,0.004654063355314042,-0.0040493598730353035,-0.02849536477546094,-14
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-21,0.0005002891639094657,-0.0007356829206611737,0.0012359720845706392,-0.0272593926908903,-13
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-24,0.004779535139725215,0.001829057862648087,0.0029504772770771277,-0.02430891541381317,-12
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-25,-0.00438657055117377,-0.002020921126663522,-0.002365649424510248,-0.02667456483832342,-11
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-26,-0.000924613120532658,-0.008755882319100516,0.007831269198567858,-0.01884329563975556,-10
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-27,-0.012281809963534304,0.0,-0.012281809963534304,-0.031125105603289863,-9
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-28,0.010726533410239861,0.0026464852818273155,0.008080048128412546,-0.02304505747487732,-8
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-10-30,-0.0013839250191938768,-0.0014239407270200122,4.0015707826135394e-05,-0.023005041767051183,-7
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-01,0.009916852091410596,5.796630998067265e-05,0.009858885781429924,-0.01314615598562126,-6
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-02,-0.00850962942197083,-0.013006885998469886,0.004497256576499057,-0.008648899409122203,-5
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-03,-1.8920652486912697e-05,-0.003417899929527901,0.0033989792770409886,-0.005249920132081214,-4
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-04,-0.010400917460209954,-0.006034249077773279,-0.004366668382436675,-0.009616588514517889,-3
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-07,0.0038722579843919283,0.0075056025232103085,-0.0036333445388183803,-0.01324993305333627,-2
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-08,0.015387111627299629,0.005472519712839796,0.009914591914459833,-0.0033353411388764367,-1
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-09,-0.03456173543003479,-0.013050857376953218,-0.02151087805308157,-0.024846219191958008,0
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-10,-0.013105956796300333,0.011112428842504851,-0.024218385638805184,-0.04906460483076319,1
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-11,-0.04837097112208064,-0.026906881546383432,-0.02146408957569721,-0.0705286944064604,2
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-15,-0.04595361898068456,-0.022648650603280918,-0.023304968377403645,-0.09383366278386404,3
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-16,0.015011841812155202,0.0003946524591782463,0.014617189352976956,-0.07921647343088709,4
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-17,-0.005490745058834364,-0.003907983628384182,-0.0015827614304501818,-0.08079923486133726,5
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-18,0.01415521311678869,-0.0007178306662209977,0.014873043783009687,-0.06592619107832758,6
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-21,-0.030743882683678152,-0.01795865793091489,-0.012785224752763263,-0.07871141583109084,7
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-22,0.022176651693715115,0.009231816977967267,0.012944834715747849,-0.06576658111534299,8
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-23,0.0002510869132103151,0.0038738862577010202,-0.003622799344490705,-0.0693893804598337,9
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-24,-0.01293409287073031,-0.008439869045099746,-0.004494223825630564,-0.07388360428546427,10
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-25,5.44810396902092e-05,0.0186805599146318,-0.018626078874941592,-0.09250968316040586,11
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-28,0.004827004264618906,0.001552814167580685,0.003274190097038221,-0.08923549306336764,12
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-29,0.025528171382364368,0.0018703318608572772,0.02365783952150709,-0.06557765354186056,13
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-11-30,0.009531761726518817,0.010120239250316132,-0.000588477523797315,-0.06616613106565787,14
Wide_2016-10-08_to_2017-01-08,Sector,Automobile and Auto Components,Automobile and Auto Components,2016-12-01,-0.0016039372616503862,-0.003842178855857581,0.002238241594207195,-0.06392788947145067,15
