Window,Window_Start,Window_End,Policy_Announcement_Date,Market_Response_Day_Zero,Analysis_Level,Entity,Sector,Event_Observations,Event_Cumulative_Return,Event_Mean_Daily_Return,Event_Daily_Volatility,Event_Mean_Abnormal_Return,Event_Cumulative_Abnormal_Return,Baseline_Observations,Baseline_Cumulative_Return,Baseline_Mean_Daily_Return,Baseline_Daily_Volatility,Baseline_Mean_Abnormal_Return,Baseline_Cumulative_Abnormal_Return,Volatility_Change
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,ADANIPORTS,Services,11,-0.1328854661641814,-0.012503155088890801,0.02862093994999568,-0.006640591032250837,-0.07304650135475921,247,-0.15164520743919818,-0.00036067779318858475,0.02469769967530922,-0.000651426409749632,-0.16090232320815911,0.0039232402746864625
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,ASIANPAINT,Consumer Durables,11,-0.14697687378099766,-0.013828609622494386,0.033571590217498254,-0.007966045565854422,-0.08762650122439863,247,0.3694006126813463,0.0013747098384541633,0.014278444775569516,0.0010839612218931161,0.26773842180759966,0.019293145441928738
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,AXISBANK,Financial Services,11,-0.003572929802437952,-0.0001446020496816666,0.01993820838864128,0.0057179620069582986,0.06289758207654128,247,0.07457729468599128,0.000477113316952498,0.019330554142952327,0.00018636470039145068,0.04603208099668832,0.0006076542456889544
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BAJAJ-AUTO,Automobile and Auto Components,11,-0.09760758776896927,-0.009166439518475268,0.016639779501207062,-0.003303875461835304,-0.03634263008018834,247,0.1760747206134261,0.0007627375485445701,0.014607997235168594,0.00047198893198352286,0.11658126619993014,0.0020317822660384684
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BAJAJFINSV,Financial Services,11,-0.1563358293098961,-0.014998258324060916,0.027049544345440327,-0.009135694267420951,-0.10049263694163046,247,0.7763146764415647,0.0025097959126119383,0.019115488577610706,0.002219047296050891,0.5481046821245701,0.007934055767829622
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BAJFINANCE,Financial Services,11,-0.178780165912519,-0.016715297248386708,0.04816321221932948,-0.010852733191746743,-0.11938006510921417,246,1.0715430915290218,0.003190287587274032,0.021352229426650306,0.0029141287616269614,0.7168756753602324,0.026810982792679176
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BHARTIARTL,Telecommunication,11,-0.06394707828004442,-0.005813151395870827,0.019642721602278226,4.941266076913758e-05,0.0005435392684605134,247,-0.06770757332554889,-0.00014063838702976894,0.016932960574393623,-0.00043138700359081627,-0.10655258988693161,0.0027097610278846024
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BPCL,Oil Gas & Consumable Fuels,11,-0.060119795903275874,-0.005513891138591687,0.01532285946987003,0.0003486729180482782,0.00383540209853106,246,0.5781309720530623,0.0020152294908882605,0.017917362281243746,0.0017225833772006895,0.42375551079136964,-0.0025945028113737167
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,BRITANNIA,Fast Moving Consumer Goods,11,-0.11874915554487975,-0.011167270874040125,0.02373253475923103,-0.00530470681740016,-0.05835177499140176,247,0.04653821788909451,0.00033688160539815677,0.01753695512429545,4.613298883710948e-05,0.011394848242766042,0.0061955796349355795
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,CIPLA,Healthcare,11,-0.04556187144731083,-0.003857578652866289,0.028999581303779134,0.0020049854037736754,0.022054839441510432,247,-0.16267626321974105,-0.0006131555186797262,0.014547691260787102,-0.0009039041352407735,-0.22326432140447106,0.014451890042992032
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,COALINDIA,Oil Gas & Consumable Fuels,11,-0.07029237994243276,-0.0063475215412591305,0.02387082919453605,-0.00048495748461916603,-0.005334532330810826,247,-0.07927797833935057,-0.00019718696224711992,0.0165947689636226,-0.00048793557880816724,-0.1205200879656173,0.007276060230913449
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,DRREDDY,Healthcare,11,-0.035907533217098275,-0.002976471131561298,0.027397329371881735,0.0028860929250786667,0.031747022175865336,247,-0.2720143962055045,-0.0010712764882368517,0.02036402841341783,-0.001362025104797899,-0.33642020088508107,0.007033300958463905
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,EICHERMOT,Automobile and Auto Components,11,-0.16922712373129034,-0.016274424127109385,0.030812743227115125,-0.010411860070469419,-0.1145304607751636,247,0.36525303817722743,0.001426223449852898,0.018233935427078067,0.0011354748332918507,0.28046228382308713,0.012578807800037058
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,GAIL,Oil Gas & Consumable Fuels,11,0.006013646351336277,0.000663469820972025,0.016151209707629885,0.00652603387761199,0.07178637265373189,247,0.32263216738539935,0.0013264472125135043,0.019841625554277275,0.0010356985959524571,0.2558175532002569,-0.00369041584664739
"[-5,+5]",2016-11-02,2016-11-17,2016-11-08,2016-11-09,Stock,GRASIM,Construction Materials,11,-0.14821549171385529,-0.014034453033188904,0.0306563145631535,-0.00817188897654894,-0.08989077874203832,246,0.37478600064937595,0.0013825396558275293,0.013249125156848004,0.0010746165682608889,0.26435567579217867,0.017407189406305496
