Symbol,Date,Close,Event_Type
M&M,2011-09-05,769.05,Golden Cross
INDUSINDBK,2011-12-29,231.95,Death Cross
M&M,2012-01-10,689.2,Death Cross
HEROMOTOCO,2012-01-31,1862.5,Death Cross
INDUSINDBK,2012-02-06,300.35,Golden Cross
MARUTI,2012-02-29,1254.8,Golden Cross
SBIN,2012-03-12,2310.8,Golden Cross
AXISBANK,2012-03-20,1186.35,Golden Cross
ICICIBANK,2012-03-21,934.05,Golden Cross
HEROMOTOCO,2012-03-26,2000.75,Golden Cross
HDFCBANK,2012-04-27,541.15,Golden Cross
BAJAJ-AUTO,2012-05-28,1515.9,Death Cross
TATAMOTORS,2012-05-28,276.6,Golden Cross
HEROMOTOCO,2012-06-01,1821.35,Death Cross
ICICIBANK,2012-06-08,829.15,Death Cross
AXISBANK,2012-06-14,1013.05,Death Cross
ICICIBANK,2012-07-12,927.85,Golden Cross
MARUTI,2012-07-17,1196.2,Death Cross
HEROMOTOCO,2012-07-26,2037.85,Golden Cross
TATAMOTORS,2012-07-31,226.25,Death Cross
M&M,2012-08-10,739.55,Golden Cross
AXISBANK,2012-08-27,1039.1,Golden Cross
AXISBANK,2012-08-28,1017.25,Death Cross
AXISBANK,2012-08-29,1018.45,Golden Cross
AXISBANK,2012-09-03,977.6,Death Cross
SBIN,2012-09-08,1898.5,Death Cross
BAJAJ-AUTO,2012-09-10,1709.35,Golden Cross
HEROMOTOCO,2012-09-11,1798.35,Death Cross
MARUTI,2012-10-04,1390.5,Golden Cross
AXISBANK,2012-10-19,1202.25,Golden Cross
TATAMOTORS,2012-10-29,256.75,Golden Cross
SBIN,2012-11-08,2242.3,Golden Cross
SBIN,2013-04-15,2146.3,Death Cross
BAJAJ-AUTO,2013-05-06,1827.1,Death Cross
SBIN,2013-05-17,2424.85,Golden Cross
SBIN,2013-05-30,2088.55,Death Cross
ICICIBANK,2013-07-22,974.45,Death Cross
AXISBANK,2013-07-23,1202.85,Death Cross
MARUTI,2013-08-05,1343.9,Death Cross
HDFCBANK,2013-08-06,608.65,Death Cross
TATAMOTORS,2013-08-13,290.85,Death Cross
HEROMOTOCO,2013-08-20,1900.45,Golden Cross
M&M,2013-08-20,791.5,Death Cross
INDUSINDBK,2013-08-23,370.15,Death Cross
KOTAKBANK,2013-09-02,627.0,Death Cross
TATAMOTORS,2013-09-10,349.6,Golden Cross
BAJAJ-AUTO,2013-10-07,2128.3,Golden Cross
KOTAKBANK,2013-11-03,743.6,Golden Cross
MARUTI,2013-11-20,1649.85,Golden Cross
HDFCBANK,2013-11-22,642.15,Golden Cross
M&M,2013-12-09,967.0,Golden Cross
ICICIBANK,2013-12-11,1158.35,Golden Cross
AXISBANK,2014-01-31,1122.95,Golden Cross
