Symbol,Sector,Start_Date,End_Date,Return_Observations,Annualized_Return,Annualized_Volatility,Sharpe_Ratio_RF0,Maximum_Drawdown,Historical_VaR_95_Loss,Beta,Annualized_Return_Rank,Lowest_Volatility_Rank
ADANIPORTS,Services,2011-08-22,2021-04-30,2399,0.1927841499830547,0.385850028086727,0.49963492535945303,-0.536935933147633,0.03551929017676497,1.1024532340486788,19,44
ASIANPAINT,Consumer Durables,2011-08-22,2021-04-30,2398,0.24431198675664856,0.26330312822165547,0.9278734681457348,-0.28855005753739915,0.02387405410637029,0.7435881969559353,9,8
AXISBANK,Financial Services,2011-08-22,2021-04-30,2398,0.13572338249834104,0.3729737614575187,0.36389525624525676,-0.6315629557608167,0.033342572103850804,1.4872780153584277,27,39
BAJAJ-AUTO,Automobile and Auto Components,2011-08-22,2021-04-30,2399,0.10937907722448537,0.2621053224281018,0.4173096380157987,-0.4328806457756489,0.023668707675590737,0.7929728782855506,32,7
BAJAJFINSV,Financial Services,2011-08-22,2021-04-30,2399,0.38517934457084135,0.35002642753452756,1.1004293226769175,-0.5858958485989331,0.030365002264226115,1.061428333094951,2,35
BAJFINANCE,Financial Services,2011-08-22,2021-04-30,2398,0.5925569266443369,0.37686072092549816,1.5723499259597284,-0.625239475868004,0.03279313006280119,1.1621084962493213,1,40
BHARTIARTL,Telecommunication,2011-08-22,2021-04-30,2399,0.03590338529890147,0.3319698401471822,0.10815255169862219,-0.4746870397643601,0.031930451697081974,0.8430513146391359,43,30
BPCL,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2396,0.1523191441585685,0.36354153925166227,0.4189869044184393,-0.5262042921617383,0.03161220974162712,1.0131884298478908,23,38
BRITANNIA,Fast Moving Consumer Goods,2011-08-22,2021-04-30,2398,0.3265499558003493,0.2675959233472005,1.2203099050079962,-0.3908655925395823,0.022420809512785838,0.5958342568510436,5,9
CIPLA,Healthcare,2011-08-22,2021-04-30,2399,0.12972371017579576,0.26773777759066064,0.48451776713455785,-0.4933747971876692,0.02393398345824944,0.5484550328698513,29,10
COALINDIA,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2399,-0.10764522846229096,0.2959804405356635,-0.36369034476560447,-0.7506765899864676,0.029288100120044135,0.7229212764529995,49,21
DRREDDY,Healthcare,2011-08-22,2021-04-30,2399,0.14588955818721194,0.272340769418069,0.5356875450522708,-0.5645758579446143,0.024912017329838387,0.4619268295456813,25,11
EICHERMOT,Automobile and Auto Components,2011-08-22,2021-04-30,2398,0.3541970218992214,0.33407718889521226,1.0602251026792493,-0.6141418875021112,0.02989996428237174,0.857760636573552,3,31
GAIL,Oil Gas & Consumable Fuels,2011-08-22,2021-04-30,2398,-0.0433782182471073,0.33891595673732006,-0.12799107679880647,-0.7304706421990032,0.03020607655169755,0.8284171500395376,46,33
GRASIM,Construction Materials,2011-08-22,2021-04-30,2398,0.1333810795707442,0.3018966032813627,0.4418104679582473,-0.6940663710047407,0.026039021305330312,1.008260698006978,28,25
HCLTECH,Information Technology,2011-08-22,2021-04-30,2397,0.26598434567997775,0.28885673169496073,0.9208175420362481,-0.3472211051234616,0.026637957043211456,0.6575490894775795,7,18
HDFC,Financial Services,2011-08-22,2021-04-30,2399,0.15010090159812584,0.29202934618892273,0.5139925269737137,-0.39832684668779805,0.026894995790955258,1.1898218651726211,24,19
HDFCBANK,Financial Services,2011-08-22,2021-04-30,2398,0.20905845386364907,0.2374440026256654,0.8804537135150697,-0.4105497542997544,0.02029240136673489,1.008460192906535,16,1
HEROMOTOCO,Automobile and Auto Components,2011-08-22,2021-04-30,2399,0.03706198463140842,0.28729425845741496,0.129003568781386,-0.6163202805665665,0.026572942890424677,0.8406529165451557,42,17
HINDALCO,Metals & Mining,2011-08-22,2021-04-30,2399,0.10608203893256607,0.4149283519487939,0.2556635101803253,-0.6924242424242417,0.03939272768491825,1.4659147505975332,33,46
