Sector,No_of_Companies,Daily_Observations,Annualized_Return,Annualized_Volatility,Risk_Adjusted_Return_RF0,Maximum_Drawdown,Historical_VaR_95_Loss,Ranking_Status,Sector_Return_Rank,Sector_Risk_Adjusted_Rank
Consumer Durables,2,2399,0.2614076036557076,0.24450497031636176,1.0691300193917357,-0.30625961015807446,0.021437604899376732,Eligible: multi-company sector,1,2
Financial Services,9,2399,0.25532334049319716,0.24725824181093511,1.0326181187053372,-0.5053336532756977,0.02211111989534938,Eligible: multi-company sector,2,5
Construction Materials,3,2399,0.24601239178113743,0.2369882110489216,1.0380786060718985,-0.40908404165601775,0.01992269396912208,Eligible: multi-company sector,3,4
Information Technology,5,2399,0.22255864021491378,0.20983179859359186,1.0606525879615207,-0.333117588680234,0.01995392391796418,Eligible: multi-company sector,4,3
Fast Moving Consumer Goods,4,2399,0.20600004485225365,0.1697248542210092,1.2137293963087357,-0.26170916630898045,0.014586133806490672,Eligible: multi-company sector,5,1
Automobile and Auto Components,6,2399,0.17126495399899166,0.223111446461884,0.7676206519877065,-0.6057997974067793,0.01939685147957152,Eligible: multi-company sector,6,6
Healthcare,3,2399,0.14764978188039057,0.21533837957178167,0.6856640333878451,-0.4816234579203106,0.020256230922770888,Eligible: multi-company sector,7,7
Metals & Mining,4,2399,0.1474037697554753,0.3432050967262511,0.429491785412057,-0.6729024559260635,0.03395550065834168,Eligible: multi-company sector,8,8
Oil Gas & Consumable Fuels,6,2399,0.04919488901965097,0.2272068974103578,0.21652022707215707,-0.5137761798478706,0.020853583134715036,Eligible: multi-company sector,9,9
Power,2,2399,0.022232749549992326,0.22124002589723177,0.10049153384351737,-0.4518695132896483,0.021871558993033398,Eligible: multi-company sector,10,10
Chemicals,1,2398,0.21221624952443263,0.3776758244464464,0.5619005395314215,-0.644348436606806,0.03476841509290848,Reported separately: single-stock sector,,
Construction,1,2397,0.06868794329876304,0.3004828951646993,0.22859185798617299,-0.5564536340852132,0.027458038427596664,Reported separately: single-stock sector,,
Media,1,2399,0.04487937015752652,0.4196570285975753,0.10694297271156399,-0.8057548092598633,0.03611096863485598,Reported separately: single-stock sector,,
Services,1,2399,0.1927841499830547,0.385850028086727,0.49963492535945303,-0.536935933147633,0.03551929017676497,Reported separately: single-stock sector,,
Telecommunication,1,2399,0.03590338529890147,0.3319698401471822,0.10815255169862219,-0.4746870397643601,0.031930451697081974,Reported separately: single-stock sector,,
