Symbol,Sector,Stock_Index_Correlation,Beta,Paired_Observations,Annualized_Return,Annualized_Volatility
ADANIPORTS,Services,0.5018196475864536,1.1024532340486788,2399,0.1927841499830547,0.385850028086727
ASIANPAINT,Consumer Durables,0.4959466617896375,0.7435881969559353,2398,0.24431198675664856,0.26330312822165547
AXISBANK,Financial Services,0.7004625574649861,1.4872780153584277,2398,0.13572338249834104,0.3729737614575187
BAJAJ-AUTO,Automobile and Auto Components,0.5313595801124332,0.7929728782855506,2399,0.10937907722448537,0.2621053224281018
BAJAJFINSV,Financial Services,0.532593500517264,1.061428333094951,2399,0.38517934457084135,0.35002642753452756
BAJFINANCE,Financial Services,0.5416940343831903,1.1621084962493213,2398,0.5925569266443369,0.37686072092549816
BHARTIARTL,Telecommunication,0.44602725967577034,0.8430513146391359,2399,0.03590338529890147,0.3319698401471822
BPCL,Oil Gas & Consumable Fuels,0.4897477187788326,1.0131884298478908,2396,0.1523191441585685,0.36354153925166227
BRITANNIA,Fast Moving Consumer Goods,0.3910599105927719,0.5958342568510436,2398,0.3265499558003493,0.2675959233472005
CIPLA,Healthcare,0.35978031152287465,0.5484550328698513,2399,0.12972371017579576,0.26773777759066064
COALINDIA,Oil Gas & Consumable Fuels,0.42897700819517737,0.7229212764529995,2399,-0.10764522846229096,0.2959804405356635
DRREDDY,Healthcare,0.29789728765160206,0.4619268295456813,2399,0.14588955818721194,0.272340769418069
EICHERMOT,Automobile and Auto Components,0.4509938685234905,0.857760636573552,2398,0.3541970218992214,0.33407718889521226
GAIL,Oil Gas & Consumable Fuels,0.4293912946987503,0.8284171500395376,2398,-0.0433782182471073,0.33891595673732006
GRASIM,Construction Materials,0.5866735480781874,1.008260698006978,2398,0.1333810795707442,0.3018966032813627
HCLTECH,Information Technology,0.39994232098429683,0.6575490894775795,2397,0.26598434567997775,0.28885673169496073
HDFC,Financial Services,0.7155853997780908,1.1898218651726211,2399,0.15010090159812584,0.29202934618892273
HDFCBANK,Financial Services,0.7458783498882267,1.008460192906535,2398,0.20905845386364907,0.2374440026256654
HEROMOTOCO,Automobile and Auto Components,0.5139203307832665,0.8406529165451557,2399,0.03706198463140842,0.28729425845741496
HINDALCO,Metals & Mining,0.6204997706763665,1.4659147505975332,2399,0.10608203893256607,0.4149283519487939
HINDUNILVR,Fast Moving Consumer Goods,0.40274484320573434,0.5582653946632513,2399,0.23494947838745794,0.24345390280157136
ICICIBANK,Financial Services,0.7512682296338216,1.5052096293081079,2398,0.14323484671232856,0.35196014746423215
INDUSINDBK,Financial Services,0.602798396928983,1.4187995103182167,2399,0.15538288983209392,0.4133852368788441
INFY,Information Technology,0.434844744550034,0.7103065769134502,2396,0.18017515767162995,0.28704015517934717
IOC,Oil Gas & Consumable Fuels,0.45288017378948003,0.8244350378762653,2397,0.01787637922241192,0.31966853574358944
ITC,Fast Moving Consumer Goods,0.48780838799572934,0.719037752102388,2398,0.04241345250072048,0.25893147630192503
JSWSTEEL,Metals & Mining,0.6147001665028072,1.3387598081061811,2398,0.2850031175911767,0.3825916914936008
KOTAKBANK,Financial Services,0.6577724794006308,1.075437657868558,2398,0.24643137591570308,0.2870576881572717
LT,Construction,0.700956495093837,1.1996462480006898,2397,0.06868794329876304,0.3004828951646993
M&M,Automobile and Auto Components,0.5845396232940012,1.0161587441964863,2398,0.08511991035648037,0.30538210938946186
MARUTI,Automobile and Auto Components,0.5931475351024832,1.0123359500243616,2399,0.1976932820245556,0.299756045880484
NESTLEIND,Fast Moving Consumer Goods,0.3244154829730412,0.44368258878432953,2399,0.15356469665049644,0.24020211920425721
NTPC,Power,0.47132970834051513,0.7336671495212885,2399,-0.054177141272022444,0.2733885241760436
ONGC,Oil Gas & Consumable Fuels,0.5267144153601871,1.0126926430003227,2398,-0.05572752497161981,0.33774346320930654
POWERGRID,Power,0.45345655183466943,0.6257032402265724,2399,0.08518360497569422,0.24234761174192584
RELIANCE,Oil Gas & Consumable Fuels,0.6680670801179824,1.1106247223712296,2398,0.1956475147557568,0.2920406539162639
SBIN,Financial Services,0.6616313181834657,1.3523431614563164,2398,0.05732288436747224,0.35905833142911164
SHREECEM,Construction Materials,0.4639219162550303,0.7819115857276222,2399,0.34556967411301587,0.29601844987674153
SUNPHARMA,Healthcare,0.36739967481919966,0.6437005414045598,2398,0.11221314234844426,0.3077305673312146
TATAMOTORS,Automobile and Auto Components,0.5859348659002521,1.4295863503393715,2398,0.08408131549706832,0.42822629352315916
TATASTEEL,Metals & Mining,0.6189132288279445,1.3445972047673498,2399,0.08895522576848891,0.3815649375681636
TCS,Information Technology,0.41441342122706476,0.6070065707739776,2398,0.21925425384454034,0.25725710356319204
TECHM,Information Technology,0.39106064320277456,0.6744902242230297,2398,0.21001183667278234,0.30296855629086306
TITAN,Consumer Durables,0.46042283022569647,0.9014276473485916,2399,0.23702284014076103,0.34385872252450034
ULTRACEMCO,Construction Materials,0.5927743860059388,0.9555560865237082,2399,0.21441219234157605,0.2831214509173011
UPL,Chemicals,0.45974546853545306,0.9884343778821204,2398,0.21221624952443263,0.3776758244464464
VEDL,Metals & Mining,0.5513178402093988,1.4195264555286904,2399,0.015241103754427554,0.45221760563614405
WIPRO,Information Technology,0.35832764969562303,0.5595658655637327,2398,0.12723874358646392,0.27432525959863585
ZEEL,Media,0.38262802064713486,0.9142505934303493,2399,0.04487937015752652,0.4196570285975753
